crashID,firstCrashType,crashType,cost,numUnits
63becc001ce87fa8db6e6db9f7d282ab0b74b2916aa201baa3ce172f247f1ce0f194ccd600e0fe765e5e0223ce9657e1825a1803d7d55a66da9ce3d7a32a89a6,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,1258,2
3e22f98552e4bf841b7bfb2fa7cc2affc42b7571fe2eb0c5074a63e8ad0d9e64e08ab30e64ffeb0c30909309bea364458aa3f27cbfdfbb78ca712416a1c36375,ANGLE,INJURY AND / OR TOW DUE TO CRASH,1751,2
0f37f182591db159bc2122a0ff385681b69d53054765d71ba952ba5a53e65bdcf40d4fc887bb03e41b8239cf64c4a31535ca350d51132bfa6640a04f110ecbff,TURNING,INJURY AND / OR TOW DUE TO CRASH,2337,2
5fddcd1d90d35990dcc2fc4ce1c9da06959a0a48b7e3cc1206523ad53e5b4e27d7a6d2930fbca9ff3deb2bbe304cd18eaf3d2d6b5285dd51173efcb52e8ee61b,REAR END,NO INJURY / DRIVE AWAY,1280,2
d75e06a1ec9153ac6a8885ceeccedd72472874e1cc0649a5a0c558bd0747dce69b4d2a5ac5c0458fe9ee8b603a9f4f1216677627a79e8b20e0f988e3e87f2d3f,REAR END,INJURY AND / OR TOW DUE TO CRASH,2522,2
f6b92e65c8cec23aa4f610aa8323ef9fa51a947136b97a00a18103d084b39d5235f0765b8df6a881be310b64d8ac31ee03417796e5e66dd9a810a0284f673717,ANGLE,NO INJURY / DRIVE AWAY,3568,2
dd18345b6376c35aa2226fc92a54cc48a7ca3f270896d45243dff6300617372171526f5e5ca4ee7480fd86de5fe632a85f426c2e35db0ac304cea30fbbe79eb4,REAR END,NO INJURY / DRIVE AWAY,1407,2
218d238c0482b5bef7bbe6dbf2dc468f84ca54c28234b597c2145148d956deb51ad9b86eff3a59f4b5631d4d743aa3c2f8295be111549e428fb8d44401d64821,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,1222,2
2f5ef8593a2381c473ae1db8d6a43eea4dca48eccd0d88f16ff84fd9b7647959b558805ba3314e7c1cfd7778bc1b03c20b465030dd31bb67adab416bc9c895ea,REAR END,NO INJURY / DRIVE AWAY,1124,2
09957fa7761054f923b1cf3f034dc1c38ce8f3573face966409c42b7829f12ea58a0139c1d8d0ed0072ccbaaf46e5e4e380048ea66425c0180d956b52dc1349e,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,327,2
e2c62b566684dbf8b6b906c9308b916f36b17528f1bb85d4f23ba5f26b50f53beaf05fa8d81811a267383ba092c554125d7ca8def8a9cf7615c2720693c5e8be,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,4925,1
9cb3c67ceb260e8966941dcc52ea651919138ca05a8fbcd6ab3e87daa7e5ae2c04970d53623c682af5bcba26751d0bba46778772f57edff16c56d410c17ec733,REAR END,NO INJURY / DRIVE AWAY,641,2
88d03a5675ea5a58efbf6ebe53d2976b29f7a1c54fe792b7a79a6d4f02c38ada67dd56a25a5dd6697c18a16f268da114cecb0e78f58fff3de436b27f3ac9a483,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,3435,2
d4c121ba4feb460e46b254b09ce697755ecef7f800b47f87f144c6f23d423db7ebfad6200bb54bf80da0cf3ac9f91ad72eaf1832cf4872c235f11253bbeecb88,ANGLE,INJURY AND / OR TOW DUE TO CRASH,4329,2
