crashUnitID,crashID,vehicleID,damageID,crashDate,unitNumber,unitType,numPassengers,vehicleMake,vehicleModel,licencePlateState,vehicleYear,vehicleDefect,vehicleType,vehicleUse,travelDirection,maneuver,occupantCount
1619979,f828cd29c2414ffd8be7a5962d9408801669659d39a5b494364e2af3ffadd0717372fc8c9cd77ff86c045e8eede7b94a338574f1354569a552939ec71a9a383b,1541568,591,07/10/2023 04:06:00 PM,2,DRIVER,1,DODGE,DURANGO,IL,2022,NONE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,2
1621720,8f83b3a508d34c071b6e9271929e8a3d58be348cb9465a6313e42f75aedab539dd01b7efdca3c5f3c011e45b79dba36605a9789e0ad535016b2771ff12bba0c1,1543230,607,07/15/2023 04:30:00 PM,1,DRIVER,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,NONE,PASSENGER,PERSONAL,W,UNKNOWN/NA,1
1621721,8f83b3a508d34c071b6e9271929e8a3d58be348cb9465a6313e42f75aedab539dd01b7efdca3c5f3c011e45b79dba36605a9789e0ad535016b2771ff12bba0c1,1543237,607,07/15/2023 04:30:00 PM,2,PARKED,,MAZDA,CX-3,IL,,NONE,PASSENGER,PERSONAL,W,PARKED,0
1622710,d854c8735afba931137c908eccfbec89e404d10fe3258c5c20da34254df19ac33a390d3d8e33c92943035cc7637a4b1153c3f11e2f235168b47b3b8f3497ffd4,1544173,769,07/21/2023 02:56:00 PM,1,DRIVER,,TOYOTA,COROLLA,IL,2019,UNKNOWN,PASSENGER,PERSONAL,E,TURNING LEFT,1
1622711,d854c8735afba931137c908eccfbec89e404d10fe3258c5c20da34254df19ac33a390d3d8e33c92943035cc7637a4b1153c3f11e2f235168b47b3b8f3497ffd4,1544180,769,07/21/2023 02:56:00 PM,2,DRIVER,1,MITSUBISHI,ECLIPSE,IL,2005,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,2
1622977,a2676d41ddb03c6088ae14c9cc37cad1869d791c95af26432ed42e454e157d4b66750930dc1f2736c89b133b0813851e370e2c318581710a387f3587ca8e47a0,1544427,1000,07/21/2023 06:26:00 PM,1,DRIVER,,DODGE,DART,IL,2016,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,1
1622978,a2676d41ddb03c6088ae14c9cc37cad1869d791c95af26432ed42e454e157d4b66750930dc1f2736c89b133b0813851e370e2c318581710a387f3587ca8e47a0,1544429,1000,07/21/2023 06:26:00 PM,2,DRIVER,,CHEVROLET,MALIBU,IL,2016,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1623081,ad7857df300bb71cafe4fbc93c24261813dc8aefff8b4791803b4003fc405c9f5cf71cfa208eb6c550a87d3516478a9aafa0e1b0d9c2bd61fe708155e658ce69,1544518,921,07/22/2023 12:20:00 AM,1,DRIVER,1,KIA,OTHER (EXPLAIN IN NARRATIVE),IL,2018,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,2
1623082,ad7857df300bb71cafe4fbc93c24261813dc8aefff8b4791803b4003fc405c9f5cf71cfa208eb6c550a87d3516478a9aafa0e1b0d9c2bd61fe708155e658ce69,1544523,921,07/22/2023 12:20:00 AM,2,DRIVER,,HONDA,CIVIC,IL,2014,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1623506,df7e29d774552cda25c62cd3bc38292de99a09840095af1753096c2e02c59653cea39599bb675debdf51d76039d1536102d7dc04f429fa651d84331cab898c4c,1544909,886,07/22/2023 05:20:00 PM,1,DRIVER,,DODGE,CHALLENGER,IL,2019,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1623507,df7e29d774552cda25c62cd3bc38292de99a09840095af1753096c2e02c59653cea39599bb675debdf51d76039d1536102d7dc04f429fa651d84331cab898c4c,1544924,886,07/22/2023 05:20:00 PM,2,DRIVER,,LINCOLN,CORSAIR,IN,,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1623533,67f12b2c1249fa8525626614a5625558db6757b646c6e30aadbb521a5be5789a5bd9eebdedcb52322c3a6395c5183b965fd59554090c76e6791d240ccf48f62a,1544944,641,07/22/2023 01:46:00 PM,1,DRIVER,,CHRYSLER,200,IL,2011,UNKNOWN,PASSENGER,PERSONAL,N,U-TURN,1
1623534,67f12b2c1249fa8525626614a5625558db6757b646c6e30aadbb521a5be5789a5bd9eebdedcb52322c3a6395c5183b965fd59554090c76e6791d240ccf48f62a,1544952,641,07/22/2023 01:46:00 PM,2,DRIVER,1,TOYOTA,COROLLA,IL,2014,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,2
1624171,3481c162fedf89d3c6d913cfcc43ca7cce3546ff936125408b0d37613dd3e1827b732a06f190b89d1b21e953dfac86e50c45dd581313ac19201351da052d60db,1545536,536,07/23/2023 05:35:00 PM,1,DRIVER,,JEEP,GRAND CHEROKEE,,,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,N,STRAIGHT AHEAD,1
1624172,3481c162fedf89d3c6d913cfcc43ca7cce3546ff936125408b0d37613dd3e1827b732a06f190b89d1b21e953dfac86e50c45dd581313ac19201351da052d60db,1545542,536,07/23/2023 05:35:00 PM,2,DRIVER,,BMW,528I,IL,2011,NONE,PASSENGER,PERSONAL,SW,STRAIGHT AHEAD,1
1624211,832975ead188ac0ff9ceedc6443c81dc14375213df7fe6fb598bb14b9bb1437278f14c0a1fb6b1c8d8ee33599efe815398b272af1ef810b97f4666893e933052,1545622,784,07/23/2023 06:00:00 PM,1,DRIVER,,BUICK,OTHER (EXPLAIN IN NARRATIVE),IL,2003,UNKNOWN,PASSENGER,UNKNOWN/NA,N,STRAIGHT AHEAD,1
1624212,832975ead188ac0ff9ceedc6443c81dc14375213df7fe6fb598bb14b9bb1437278f14c0a1fb6b1c8d8ee33599efe815398b272af1ef810b97f4666893e933052,1545632,784,07/23/2023 06:00:00 PM,2,PARKED,2,VOLKSWAGEN,OTHER (EXPLAIN IN NARRATIVE),IL,2016,UNKNOWN,PASSENGER,NOT IN USE,N,PARKED,2
1624873,cbe7785c40ca882c13b7aa3b79bbd54629d10e579a9df9cf1c55c7d7dc3681b6a3f3184269b0e1ba186f101fd040f4fd2d3d7876c01dcbc3cc592b825558f25b,1546216,973,07/24/2023 04:10:00 PM,1,DRIVER,1,NISSAN,SENTRA,IL,2018,NONE,PASSENGER,PERSONAL,E,TURNING LEFT,2
1624874,cbe7785c40ca882c13b7aa3b79bbd54629d10e579a9df9cf1c55c7d7dc3681b6a3f3184269b0e1ba186f101fd040f4fd2d3d7876c01dcbc3cc592b825558f25b,1546241,973,07/24/2023 04:10:00 PM,2,DRIVER,,CHEVROLET,MALIBU,IL,2019,NONE,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,1
1625592,0d29aec09c6825c1532db7d6eb92c976960c46ce7b334f0fca64304e937a4a1621795dcf69eafa444fb1aff88a9c6db09cd1f90e93c45ec570a819018e854acf,1546912,608,07/25/2023 09:30:00 PM,1,DRIVER,,TOYOTA,CAMRY,IL,2019,UNKNOWN,PASSENGER,PERSONAL,E,TURNING LEFT,1
1625593,0d29aec09c6825c1532db7d6eb92c976960c46ce7b334f0fca64304e937a4a1621795dcf69eafa444fb1aff88a9c6db09cd1f90e93c45ec570a819018e854acf,1546913,608,07/25/2023 09:30:00 PM,2,DRIVER,,TOYOTA,RAV4,IL,2021,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,E,TURNING LEFT,1
1626794,da692150018952b083082260cb7f71279025946d96a52e2e96805464a9e411a0bb3e248c0366fc94242248a388c7cc744b855d2e940da5b3a90a20c0b405be45,1548052,589,07/27/2023 07:35:00 PM,1,DRIVER,,CHEVROLET,TRAIL BLAZER,IL,2002,NONE,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,N,STRAIGHT AHEAD,1
1626795,da692150018952b083082260cb7f71279025946d96a52e2e96805464a9e411a0bb3e248c0366fc94242248a388c7cc744b855d2e940da5b3a90a20c0b405be45,1548063,589,07/27/2023 07:35:00 PM,2,DRIVER,,TOYOTA,COROLLA,IL,2008,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1626944,5f477156c434df85fb8b06f22893e1a3b3cf23d0688a146347d3df26f0364dae19cb755a4394b7c8442dd5312fcf886773c1218112eff949ee75049eade5aebd,1548196,683,07/27/2023 07:15:00 PM,1,DRIVER,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,VAN/MINI-VAN,UNKNOWN/NA,N,STRAIGHT AHEAD,1
1626945,5f477156c434df85fb8b06f22893e1a3b3cf23d0688a146347d3df26f0364dae19cb755a4394b7c8442dd5312fcf886773c1218112eff949ee75049eade5aebd,1548197,683,07/27/2023 07:15:00 PM,2,PARKED,,BMW,OTHER (EXPLAIN IN NARRATIVE),IL,2012,NONE,PASSENGER,NOT IN USE,N,PARKED,0
1626992,6b4440aa4147829bb4abd6351d3314617b43fa6dc89401fe4ba8b72a637fbba92d21c8e876477fc240509e55ff07c77c78337a878f1bd990331e7d437efa0042,1548243,617,07/28/2023 08:00:00 AM,1,DRIVER,,HYUNDAI,SONATA,IL,2021,NONE,PASSENGER,PERSONAL,SW,LEAVING TRAFFIC LANE TO PARK,1
1627486,5c6031f18e4299f15528d9201fb657dd5a3c7fa26f3b1fdfee45d0771903553d93ea53cb61e8cbdb2af540f9c192b2f105e5af10809c716d5280b10982dd3933,1548703,558,07/28/2023 05:20:00 AM,1,DRIVER,1,LEXUS,RX450H,IL,2013,UNKNOWN,PASSENGER,PERSONAL,N,BACKING,2
1627487,5c6031f18e4299f15528d9201fb657dd5a3c7fa26f3b1fdfee45d0771903553d93ea53cb61e8cbdb2af540f9c192b2f105e5af10809c716d5280b10982dd3933,1548708,558,07/28/2023 05:20:00 AM,2,PARKED,,NISSAN,ARMADA,IL,2007,UNKNOWN,PASSENGER,PERSONAL,UNKNOWN,PARKED,0
